sentiment,text,substring,status
neutral,Best wishes to @ Javedakhtarjadu @ AzmiShabana pseudo atheist In new country in advance . Bon voyage .… https // t . co / srrMgV9uZC,,
positive,Most emotional lines by Ammi `` Nahi jaraaha dahii lene idhar dy paisy main khud jaatii h0n ´´ 😂🔫😢,,
negative,@ smritiirani ji bahut bahut subhkamnaye ! hope you scale new heights in near future . # CabinetAnnouncement2019,,
neutral,@ danyalkhan007 @ Engr _ jerry ghr mae he best hti ha bt ab bahr ka arda ha,,
neutral,RT @ AmitLalwani BAAP of BLOCKBUSTER Arriving on 5 June @ BeingSalmanKhan # Bharat # BharatThisEid # BharatWithFamily # IAmBharat @ Bharat _ Th …,,
neutral,@ ashokgehlot51 Are jo exam pending hai wo clear karao sir July August tak,,
negative,@ jokerofj @ TarekFatah A Muslim is a Muslim . There is no secularism in that samjha beta . It ’ s not like Hindus and Hindutvas,,
positive,I ’ ll be happy when this mf get done fixing my car 😒 I ’ m ready to go out,,
negative,Zameen Congress ne dilaayi Makaan Congress ne banvaya lekin vote toilet ke naam pe pade hain kyuki lehar … https // t co / RngQkCrTFt,,
positive,@ TimesNowHindi @ TimesNow Shaheedo ka ya unke pariwar ka Ktch bhi likhte rhte ho Shame on you,,
neutral,@ Bajwas24 Islam ke bary main agar knowledge nae tu yeah gatar mouth band rakho,,
negative,Kasme main laa laini way juti if I saw anymore tweets ' Ghabrana Nahi Hai ',,
positive,@ mamata _ for _ PM MAMATA JI AAP SAHI BOLTE HO JAI SREE RAM RAM KA NAAM LO AAPKA JEEWAN SUDHAR JAAYEGA JAI SHREE RAM BO … https // t . co / SkaV3JV3yj,,
negative,@ bhupeshbaghel Koi to Chhattisgarh ka bane kabhi ??? 😘.. this bhopun can only be chamcha Das 💥,,
negative,@ GulBukhari Chutia Adil Abbasi .... isko pata hi nahin what he is talking to ... a paid troll,Chutia,updated
negative,Conngress ke spokes persons ab kya karenge jhuth ke alawa kuchh aata nahi inhejinka president hi jhutha ho .....,,
positive,@ smritiirani @ DebasreeBJP Smriti je hum sab ko vishwas hai aap good better best kaam karenge . Hum prayagraj wasiyo … https // t . co / 7KVwDsmaTK,,
positive,@ FarhanHamidsays Allah jald sehat yaab kare . All prayers for you always 🙏,,
neutral,@ thewirehindi Hindu Dabang tha hai aur rahega Tum jaise jaichando ki wajah se Hindu Aur Hindu ki dharti ko Sadiyon … https // t . co / 6JCf29LFXO,,
positive,@ SushmaSwaraj Mam aap nahi janate ki hum Bharatiya apka seva bahut miss karenge . Aap jaise neta Milana bahut mushki … https // t . co / e83Ipg0hH3,,
positive,Modi ji ki jeet ka fayadha sabse jayadha school ke bacche ka huva bhai Five years tak prime minister ka naam yaad nahi kernha Padhegha 😀,,
neutral,RT @ TheJazzyBelle PUT THIS IN EVERY DICTIONARY IN THE WORLD NEXT TO “ INGENUITY ” RIGHT NOW !!!!!!!! RT @ reverseiris HER MUTHA-FUCKING-MIND …,,
negative,Sharm ani chaheye is so called President ko shkal sy hi bewakuf lagta ha jese koi pagal bat krta krta dant kaat le ga,,
negative,Shaabaash Kutti k baccho ') Kabhi mulk ki Ezat na krwana BC 😠 # PAKvWI # WC19 https // t . co / ZVtYe8JJtX,,
positive,Us k dil per bhi kaari ishq main guzri hogi ... Naam jis ny bhi muhabbat ka saza rakha hae ... Jab sy juny mujhy dew … https // t . co / MF4zyT9XYT,,
negative,RT @ awarastic Pakistan ko kisi ne btaya nahi t20 world cup nahi h ye .. jo 20 over me hi ludak gaye ..,,
positive,RT @ MohitKu89617757 @ Atheist _ Krishna @ ANI Wah ye hai 56 inch ka dam ab sabhi padosi ise dekhte rahenge aur jalte rahenge bharat mata ki jai,,
negative,@ AdarshK11988913 in polticians ki kaam he hame aapas me ladana aur vote bank k naam pe iss desh ko todna kyunki iss … https // t . co / cXvp3PpZhl,,
positive,@ 1stIndiaNews @ INCRajasthan @ ashokgehlot51 @ RahulGandhi Sachin pilot jindabad,,
negative,@ Itz _ aziz __ Congress ne ye nirnay liya hai ki anchor agar insaan ho to jae Bhokne wale kutte ho jaise ki Amish sad … https // t . co / uoplZP0NPo,,
positive,@ BeingSalmanKhan # BharatThisEid # Bharat # loveuSalman 💋 superb look very handsome https // t co / KmqDSbNxvF,,
neutral,@ khusboomishra1 Har koi Hindu Musalman bad me hai Insaan pehle hai Achha Insan apne bachhon aur Beewi ko khush rakh … https // t . co / GwUNEgwm6A,Hindu Musalman,updated
negative,@ vSupportNamo @ indifferent _ kay @ htTweets Gyan Mubarak ho aapko Chai aur chugliyan Mubarak ho hamein,,
neutral,Just Liked on YouTube Luka Chuppi Duniyaa Full Video Song | Hindi Duniya Full Song | Sapan Ahamed https // t . co / QyJTWKK922,,
neutral,@ Ra _ Bies Bhai respect do inhe BJP ko jitane ka kaam sabse jyada inhine kiya he sayad 😂😂,,
negative,@ Ishtiaq79410094 @ sidraa _ zafar @ 29NotJustNumber Pehle fact padh le chutiye tera pakistan hai kutte ki tarah map wal … https // t . co / jMLFfvBmIT,,
positive,HAPPY BIRTHDAY Morgan Freeman - MY FILMY DUNIYA Help Line No . 08866681188 / 2288 / 3388 / 4488 Born 31 May 1943 (… https // t . co / HlIMUovF8a,,
